title,year,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
7h58 ce samedila,2007,sidney lumet,etatsunis,6960,thriller,8749.0,74208,60450.0,7,173224,118,3.8,3.4,"[""Philip Seymour Hoffman"", ""Ethan Hawke"", ""Marisa Tomei"", ""Albert Finney""]",18000000.0,"[""anglais""]",118634.0,0.0
holy smoke,1999,jane campion,australie,6900,drame,10135.6,72806,59784.0,11,323447,103,3.1,3.1,"[""Harvey Keitel"", ""Kate Winslet"", ""Pam Grier"", ""Julie Hamilton""]",27422000.0,"[""anglais""]",98437.0,0.0
menteur menteur,1997,tom shadyac,etatsunis,5160,comedie,64774.0,845332,422481.0,1,1551253,343,-1.0,3.2,"[""Jim Carrey"", ""Maura Tierney"", ""Swoosie Kurtz"", ""Jennifer Tilly""]",45000000.0,"[""anglais"", ""allemand""]",92086.0,0.0
le casse de central park,2011,brett ratner,etatsunis,6240,comedie,9759.0,97963,76850.0,12,175526,201,2.8,2.8,"[""Ben Stiller"", ""Eddie Murphy"", ""Casey Affleck"", ""Alan Alda""]",75000000.0,"[""anglais""]",131243.0,0.0
je fais le mort,2013,jeanpaul salome,france,6300,comedie,12107.0,102817,72040.0,8,195257,199,2.9,2.7,"[""François Damiens"", ""Géraldine Nakache"", ""Lucien Jean-Baptiste"", ""Anne Le Ny""]",9260000.0,"[""francais""]",133647.0,0.0
amour,2012,michael haneke,france,7620,drame,24928.0,214179,165660.0,7,767418,235,4.4,3.8,"[""Jean-Louis Trintignant"", ""Emmanuelle Riva"", ""Isabelle Huppert"", ""Alexandre Tharaud""]",8900000.0,"[""anglais"", ""francais""]",128207.0,25.0
tournage dans un jardin anglais,2006,michael winterbottom,grandebretagne,5640,comedie,2501.0,25500,19101.0,20,118016,63,4.0,2.4,"[""Steve Coogan"", ""Rob Brydon"", ""Keeley Hawes"", ""Shirley Henderson""]",2800000.0,"[""anglais""]",115651.0,0.0
cry macho,2021,clint eastwood,etatsunis,6240,western,18299.0,126797,102874.0,5,198141,460,3.1,2.6,"[""Clint Eastwood"", ""Dwight Yoakam"", ""Daniel V. Graulau"", ""Eduardo Minett""]",34120000.0,"[""anglais""]",-1.0,0.0
dream house,2011,jim sheridan,etatsunis,5460,thriller,20003.0,152900,130964.0,6,261717,319,1.5,2.5,"[""Daniel Craig"", ""Naomi Watts"", ""Rachel Weisz"", ""Elias Koteas""]",55000000.0,"[""anglais""]",130951.0,0.0
paris,2008,cedric klapisch,france,7800,comedie,140257.0,778154,611578.0,1,1723642,482,3.0,3.3,"[""Juliette Binoche"", ""Romain Duris"", ""Fabrice Luchini"", ""Albert Dupontel""]",13000000.0,"[""francais""]",114879.0,0.0
gazon maudit,1995,josiane balasko,france,6300,comedie,18806.0,601128,120221.4,1,3990094,254,-1.0,3.1,"[""Josiane Balasko"", ""Alain Chabat"", ""Ticky Holgado"", ""Victoria Abril""]",7030000.0,"[""francais""]",85984.0,2.0
two lovers,2008,james gray,etatsunis,6600,drame,25189.0,239193,195166.0,5,835400,229,4.4,3.7,"[""Joaquin Phoenix"", ""Gwyneth Paltrow"", ""Vinessa Shaw"", ""Isabella Rossellini""]",12000000.0,"[""anglais""]",121726.0,0.0
moi moche et mechant 2,2013,chris renaud,etatsunis,5880,animation,189370.0,1418855,1011359.0,1,4655036,799,3.7,4.0,[],79800000.0,"[""anglais""]",136935.0,0.0
matrix,1999,wachowski brothers,etatsunis,8160,science fiction,246861.0,1778279,1075054.0,1,4771685,656,3.4,4.4,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving""]",63000000.0,"[""anglais""]",97109.0,6.0
lhomme qui murmurait a loreille des chevaux,1998,robert redford,etatsunis,9600,romance,95435.0,511833,316817.8,1,2997201,335,3.2,3.8,"[""Robert Redford"", ""Kristin Scott Thomas"", ""Scarlett Johansson"", ""Sam Neill""]",60000000.0,"[""anglais""]",-1.0,0.0
impardonnables,2011,andre techine,france,6660,drame,12738.0,80970,61949.0,12,198822,105,2.6,2.1,"[""André Dussollier"", ""Carole Bouquet"", ""Mélanie Thierry"", ""Adriana Asti""]",16106000.0,"[""francais""]",126143.0,0.0
the ryan initiative,2014,kenneth branagh,etatsunis,6000,thriller,38937.0,258323,215252.0,3,452685,397,3.1,2.8,"[""Chris Pine"", ""Kevin Costner"", ""Keira Knightley"", ""Kenneth Branagh""]",60000000.0,"[""anglais""]",138506.0,0.0
colombiana,2011,olivier megaton,france,6300,aventure action,65988.0,284215,232792.0,4,607711,415,2.3,3.1,"[""Zoe Saldana"", ""Amandla Stenberg"", ""Michael Vartan"", ""Cliff Curtis""]",45400000.0,"[""anglais""]",127277.0,0.0
le crime est notre affaire,2008,pascal thomas,france,6540,thriller,41206.0,314658,252572.0,2,1219181,330,3.9,3.2,"[""Catherine Frot"", ""André Dussollier"", ""Claude Rich"", ""Chiara Mastroianni""]",48278000.0,"[""francais""]",119480.0,2.0
un cri dans locean,1998,stephen sommers,etatsunis,6360,thriller,77412.4,228630,524350.6,5,320672,151,-1.0,2.5,"[""Treat Williams"", ""Famke Janssen"", ""Anthony Heald"", ""Kevin J. O&#039;Connor""]",45000000.0,"[""anglais""]",-1.0,0.0
larme fatale 4,1998,richard donner,etatsunis,7200,aventure action,210130.0,1154667,646169.0,1,3303483,633,-1.0,3.6,"[""Danny Glover"", ""Mel Gibson"", ""Joe Pesci"", ""Rene Russo""]",140000000.0,"[""chinois"", ""anglais"", ""italien""]",95050.0,0.0
1 chance sur 2,1998,patrice leconte,france,6600,aventure action,76704.29752953813,430015,378094.05652680655,2,1056810,536,-1.0,2.0,"[""Jean-Paul Belmondo"", ""Alain Delon"", ""Vanessa Paradis"", ""Eric Defosse""]",224575553.58251366,"[""francais""]",-1.0,0.0
ce que le jour doit a la nuit,2012,alexandre arcady,france,9540,drame,13646.0,105783,78767.0,7,290978,242,2.4,4.0,"[""Nora Arnezeder"", ""Fu&#039;ad Ait Aattou"", ""Anne Parillaud"", ""Vincent Perez""]",17000000.0,"[""algerien"", ""francais""]",122185.0,0.0
high fidelity,2000,stephen frears,etatsunis,6240,romance,54407.4,57785,235377.8,10,169524,135,3.6,3.4,"[""John Cusack"", ""Iben Hjejle"", ""Todd Louiso"", ""Lisa Bonet""]",20000000.0,"[""anglais""]",100129.0,0.0
la chute de la maison blanche,2013,antoine fuqua,etatsunis,7140,thriller,26923.0,173658,145579.0,5,334159,180,2.8,3.4,"[""Gerard Butler"", ""Aaron Eckhart"", ""Morgan Freeman"", ""Rick Yune""]",80000000.0,"[""anglais""]",136165.0,0.0
lame de fond,1996,ridley scott,etatsunis,7500,aventure action,39013.8,44487,224943.6,7,95515,90,-1.0,2.9,"[""Jeff Bridges"", ""John Savage"", ""Caroline Goodall"", ""Scott Wolf""]",38000000.0,"[""danois"", ""anglais"", ""espagnol""]",90405.0,0.0
t2 trainspotting,2017,danny boyle,grandebretagne,7020,film familial,14019.0,75702,61456.0,15,102201,254,3.1,3.4,"[""Ewan McGregor"", ""Ewen Bremner"", ""Jonny Lee Miller"", ""Robert Carlyle""]",260600000.0,"[""anglais""]",146061.0,1.0
assassins,1997,mathieu kassovitz,france,7680,thriller,76704.29752953813,181972,378094.05652680655,3,446548,257,-1.0,2.9,"[""Michel Serrault"", ""Mathieu Kassovitz"", ""Mehdi Benoufa"", ""Robert Gendreu""]",224575553.58251366,"[""francais""]",88370.0,0.0
par dela les nuages,1996,win wenders,france,6900,drame,76704.29752953813,94866,378094.05652680655,7,284076,60,-1.0,2.8,"[""Fanny Ardant"", ""John Malkovich"", ""Sophie Marceau"", ""Chiara Caselli""]",224575553.58251366,"[""anglais"", ""francais"", ""italien""]",84460.0,0.0
true lies,1994,james cameron,etatsunis,8640,aventure action,179119.6,590566,414238.2,1,1891086,462,-1.0,3.4,"[""Arnold Schwarzenegger"", ""Jamie Lee Curtis"", ""Bill Paxton"", ""Tom Arnold""]",100000000.0,"[""arabic"", ""anglais"", ""francais"", ""allemand""]",85850.0,1.0
mes doubles ma femme et moi,1996,harold ramis,etatsunis,6600,comedie,76704.29752953813,129718,378094.05652680655,4,387330,180,-1.0,2.9,"[""Michael Keaton"", ""Andie MacDowell"", ""Harris Yulin"", ""Richard Masur""]",224575553.58251366,"[""anglais""]",-1.0,0.0
de lombre a la lumiere,2005,ron howard,etatsunis,8640,drame,28297.0,167074,146390.0,4,331804,404,-1.0,-1.0,[],132040000.0,"[""""]",-1.0,0.0
le droit de tuer,1996,joel schumacher,etatsunis,8940,thriller,110142.8,116014,165821.6,6,262886,145,-1.0,3.6,"[""Matthew McConaughey"", ""Sandra Bullock"", ""Samuel L. Jackson"", ""Kevin Spacey""]",40000000.0,"[""anglais""]",90875.0,0.0
happy new year,2011,gary marshall,etatsunis,7020,romance,48810.0,232819,151319.0,7,540798,344,1.5,2.6,"[""Robert De Niro"", ""Ashton Kutcher"", ""Zac Efron"", ""Katherine Heigl""]",56000000.0,"[""anglais""]",131430.0,0.0
