title,year,id_jp,url_allo,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
7h58 ce samedila,2007,0010478f4e067fedf4634d0a06f0f0ad,https://www.allocine.fr/film/fichefilm_gen_cfilm=111819.html,sidney lumet,etatsunis,6960,thriller,8749,74208,60450,7,173224,118,3.8,3.4,"[""Philip Seymour Hoffman"", ""Ethan Hawke"", ""Marisa Tomei"", ""Albert Finney""]",18000000,"[""anglais""]",118634,0
menteur menteur,1997,00cc02716a6d42f38dd2efaa773b6900,https://www.allocine.fr/film/fichefilm_gen_cfilm=11510.html,tom shadyac,etatsunis,5160,comedie,64774,845332,422481,1,1551253,343,-1,3.2,"[""Jim Carrey"", ""Maura Tierney"", ""Swoosie Kurtz"", ""Jennifer Tilly""]",45000000,"[""anglais"", ""allemand""]",92086,0
dream house,2011,02acc86450b3f7c7eb34ecc6c4638bea,https://www.allocine.fr/film/fichefilm_gen_cfilm=145616.html,jim sheridan,etatsunis,5460,thriller,20003,152900,130964,6,261717,319,1.5,2.5,"[""Daniel Craig"", ""Naomi Watts"", ""Rachel Weisz"", ""Elias Koteas""]",55000000,"[""anglais""]",130951,0
paris,2008,02d8e008f9b224bc32c31ff34d4b90b8,https://www.allocine.fr/film/fichefilm_gen_cfilm=114860.html,cedric klapisch,france,7800,comedie,140257,778154,611578,1,1723642,482,3,3.3,"[""Juliette Binoche"", ""Romain Duris"", ""Fabrice Luchini"", ""Albert Dupontel""]",13000000,"[""francais""]",114879,0
two lovers,2008,03101f932285a244f3887c89e43f519d,https://www.allocine.fr/film/fichefilm_gen_cfilm=130773.html,james gray,etatsunis,6600,drame,25189,239193,195166,5,835400,229,4.4,3.7,"[""Joaquin Phoenix"", ""Gwyneth Paltrow"", ""Vinessa Shaw"", ""Isabella Rossellini""]",12000000,"[""anglais""]",121726,0
impardonnables,2011,035e407f621eee584f1e0d4741182992,https://www.allocine.fr/film/fichefilm_gen_cfilm=178507.html,andre techine,france,6660,drame,12738,80970,61949,12,198822,105,2.6,2.1,"[""André Dussollier"", ""Carole Bouquet"", ""Mélanie Thierry"", ""Adriana Asti""]",-1,"[""francais""]",126143,0
le crime est notre affaire,2008,0525e92640a10922a71a2858b09f673c,https://www.allocine.fr/film/fichefilm_gen_cfilm=133725.html,pascal thomas,france,6540,thriller,41206,314658,252572,2,1219181,330,3.9,3.2,"[""Catherine Frot"", ""André Dussollier"", ""Claude Rich"", ""Chiara Mastroianni""]",-1,"[""francais""]",119480,2
1 chance sur 2,1998,056edc0358fb1a42599b48e24c27d430,https://www.allocine.fr/film/fichefilm_gen_cfilm=16718.html,patrice leconte,france,6600,aventure action,-1,430015,-1,2,1056810,536,-1,2,"[""Jean-Paul Belmondo"", ""Alain Delon"", ""Vanessa Paradis"", ""Eric Defosse""]",-1,"[""francais""]",-1,0
high fidelity,2000,06b8cfcb316029d4252298e5acf3846b,https://www.allocine.fr/film/fichefilm_gen_cfilm=13823.html,stephen frears,etatsunis,6240,romance,-1,57785,-1,10,169524,135,3.6,3.4,"[""John Cusack"", ""Iben Hjejle"", ""Todd Louiso"", ""Lisa Bonet""]",20000000,"[""anglais""]",100129,0
lame de fond,1996,071e4437064cee69815f814e65c3b655,https://www.allocine.fr/film/fichefilm_gen_cfilm=15167.html,ridley scott,etatsunis,7500,aventure action,-1,44487,-1,7,95515,90,-1,2.9,"[""Jeff Bridges"", ""John Savage"", ""Caroline Goodall"", ""Scott Wolf""]",38000000,"[""danois"", ""anglais"", ""espagnol""]",90405,0
